Loja;Presente do Molda - 1;deflecting palm - 1;duplicant - 1;ichor wellspring - 1;mycosynth wellspring - 1;skullclamp - 1;sol ring - 1;Total;
Monster Games Cards;0;0;15.00;0;0;0;0;15.00;
Flow Games;0;0;0;0;0.10;0;0;0.10;
Caos Games;0;0;0;0;0;6.00;7.00;13.00;
Cards e Games;0;5.99;11.90;0.94;0.25;3.20;3.99;26.27;
Storm TCG;0;0;14.69;0;0.13;0;5.34;20.16;
MTG IDEAL;0;0;12.35;0;0;0;4.75;17.10;
Arena Hobby Store;0;0;0;0;0.11;3.25;3.99;7.35;
Walkers Magic Store;0;3.99;17.99;0.49;0.49;9.99;5.99;38.94;
Eduardo L N Silva;0;0;13.75;0;0.25;0;24.55;38.55;
Power Up Games;0;0;15.00;1.00;0.35;0;10.00;26.35;
Kinoene Cards;0;0;12.99;0;0.25;3.25;5.98;22.47;
House of Cards - Card Games;0;0;0;0.25;0.25;0;0;0.50;
LOJA CALABOUÇO - HOBBIES E COLECIONÁVEIS;0;5.99;0;0;0;4.44;7.99;18.42;
Mulligan Geek Store;14.75;6.75;15.75;1.75;0.50;4.75;34.75;79.00;
Magic Secrets;0;0;0;0;0.49;0;0;0.49;
BT LIVRARIA;0;0;0;0;0.18;3.56;7.16;10.90;
MAGICHOUSE;0;0;16.99;0.70;0.12;5.99;13.59;37.39;
City Class Games;60.00;0;0;0;0;0;7.00;67.00;
AnimeToys Sorocaba;0;0;12.00;0;0.45;0;9.00;21.45;
Epic Game;0;0;12.50;0;0;2.99;7.99;23.48;
UPONLINE;14.19;0;0;0;0.20;6.89;10.00;31.28;
CL MTG;0;0;30.00;0;0;0;0;30.00;
Nerd Place;0;0;0;0;0.25;0;0;0.25;
Magic Leste;0;6.70;0;0;0.19;3.15;5.90;15.94;
Bazar Magic;0;0;19.90;0;0.40;6.90;7.90;35.10;
DrawGO. Games;0;0;40.00;0;0.19;1.49;3.99;45.67;
CHQ Cards;0;0;13.10;0.70;0.60;0;10.00;24.40;
UGCardShop;0;5.99;13.75;0;0.45;3.25;4.75;28.19;
Bazar de Bagdá;0;0;29.99;0;0.49;7.99;7.99;46.46;
Manticore Game Store;0;4.00;0;0.25;0.50;0;0;4.75;
PlayGround;14.90;0;15.99;0;0.12;0;349.99;381.00;
Liga Arena;9.90;6.50;15.75;0.85;0.30;0;0;33.30;
Magic Store Brasil;11.00;6.58;0;0.84;0;1.50;7.50;27.42;
Divinos Games;0;4.99;11.95;0.99;0.15;3.49;4.95;26.52;
LetsCollect;0;0;13.25;0.71;0.14;0;32.11;46.21;
Nerdz;17.50;6.90;17.90;0;0.25;0;0;42.55;
VampireX TCG;13.99;12.99;13.99;0;0.10;0;5.99;47.06;
Cards Of Paradise;0;0;13.75;0;0.25;3.75;4.75;22.50;
Ascensão;0;0;13.98;0;0;0;0;13.98;
Legion CG;14.00;0;0;0;0.20;4.25;4.00;22.45;
ManaFix.net;17.50;0;13.50;0.35;0.35;3.75;0;35.45;
Medieval Cards;0;6.50;0;0;0;0;0;6.50;
magicbembarato;18.02;9.96;14.41;1.59;0.23;7.34;11.45;63.00;
MTGCARDS;0;0;15.95;0;0.25;4.95;6.95;28.10;

